etiology_1_NPsy,Numeric,40,0,etiology of neurobehavioral syndrome as stated in NP report at time 1,"{0, AD}...",None,13,Right,Nominal,Input
etiology_NPsy_Explained,String,800,0,Etiology explained,None,None,87,Left,Nominal,Input
neurobehav_1,Numeric,8,2,Neurobehavioral syndrome per neuropsychologist time 1,"{.00, Normal}...",None,27,Right,Nominal,Input
data_entry_ambiguities,String,800,0,Information not explicitly stated in record or report but deduced from other information,None,None,51,Left,Nominal,Input
ed_yrs,Numeric,8,2,Years of education,None,None,8,Right,Scale,Input
ed_level,Numeric,8,2,Level of education,"{.00, 8th grade or less}...",None,9,Right,Nominal,Input
devel_hx,Numeric,8,2,History of developmental delay,"{.00, No}...",None,8,Right,Nominal,Input
devel_hx_explained,String,800,0,"Description of developmental delay (e.g., LD type, ADHD, other neurodevelopmental disorder)",None,None,8,Left,Nominal,Input
sex,Numeric,8,2,Sex,"{.00, Male}...",None,8,Right,Nominal,Input
race,Numeric,8,2,Race,"{.00, Caucasian}...",None,8,Right,Nominal,Input
hand,Numeric,8,2,Handedness,"{.00, RH}...",None,8,Right,Nominal,Input
employ_1,Numeric,8,2,Employment status,"{.00, Full-time}...",None,8,Right,Nominal,Input
occup_1,String,200,0,Occupation,None,None,49,Left,Nominal,Input
occup_categories,Numeric,8,2,Occupation categories,"{.00, Homemaker}...",None,26,Right,Nominal,Input
occup_recat_homemaker,Numeric,8,2,"Occupation categories, homemaker recategorized","{1.00, Manual}...",None,8,Right,Nominal,Input
marital_1,Numeric,8,2,Marital status,"{.00, Single}...",None,8,Right,Nominal,Input
lang_first,Numeric,8,2,First language,"{.00, English}...",None,8,Right,Nominal,Input
lang_fluency,Numeric,8,2,Fluent in other language?,"{.00, No}...",None,8,Right,Nominal,Input
lang_sec,String,20,0,Secondary language,"{0, English}...",None,8,Left,Nominal,Input
cog_onset_1,Numeric,8,2,Age of onset of cognitive decline,None,None,8,Right,Scale,Input
cog_course_1,Numeric,8,2,Course of cognitive problems,"{.00, Gradual}...",None,8,Right,Nominal,Input
cog_onset_report,Numeric,8,2,who reported onset and course of cognitive problems,"{.00, patient only}...",None,8,Right,Nominal,Input
diabetes_1,Numeric,8,2,Diabetes,"{.00, No}...",None,8,Right,Nominal,Input
hypertension_1,Numeric,8,2,Hypertension,"{.00, No}...",None,8,Right,Nominal,Input
cva_1,Numeric,8,2,Cerebrovascular accident,"{.00, No}...",None,8,Right,Nominal,Input
cholesterol_1,Numeric,8,2,High cholesterol,"{.00, No}...",None,8,Right,Nominal,Input
cad_1,Numeric,8,2,Coronary artery disease,"{.00, No}...",None,8,Right,Nominal,Input
VascularRisksPresent,Numeric,8,2,"Presence of any vascular risks (Diabetes, HTN, CVA, cholesterol, CAD)","{.00, no}...",None,8,Right,Nominal,Input
VascularRisks_Number,Numeric,8,2,Number of vascular risks,None,None,8,Right,Nominal,Input
thyroid_1,Numeric,8,2,,"{.00, hypothyroidism}...",None,8,Right,Nominal,Input
tbi_1,Numeric,8,2,history of mild Traumatic brain injury,"{.00, No}...",None,8,Right,Nominal,Input
tumor_1,Numeric,8,2,Brain tumor,"{.00, No}...",None,8,Right,Nominal,Input
other_neurol_1,Numeric,8,2,Other neurologic problems,"{.00, No}...",None,13,Right,Nominal,Input
other_neurol_prob_1,String,1000,0,Description of other neurologic problems,None,None,12,Left,Nominal,Input
neurologytx_1,Numeric,8,2,is patient treated by neurologist,"{.00, yes}...",None,8,Right,Nominal,Input
famhx_dem_1,Numeric,8,3,Family history of dementia,"{.000, No}...",None,13,Right,Nominal,Input
famhx_rel_1,Numeric,8,2,Immediate fam hx of dementia,"{.00, None}...",None,8,Right,Nominal,Input
famhx_demtype_1,Numeric,8,2,Family history of dementia: type of dementia,"{.00, AD}...",None,12,Right,Nominal,Input
famhx_demtype_explained_1,String,500,0,,None,None,8,Left,Nominal,Input
famhx_onset_1,Numeric,8,2,Family history age of onset,"{.00, <50}...",None,8,Right,Nominal,Input
famhx_onset_explained_1,String,500,0,,None,None,8,Left,Nominal,Input
psydx_1,Numeric,8,2,Psychiatric diagnosis time 1,"{.00, No diagnosis}...",None,18,Right,Nominal,Input
traumahx_1,Numeric,8,2,History of trauma,"{.00, No}...",None,8,Right,Nominal,Input
premorbidpsych_1,Numeric,8,2,premorbid psychiatric history,"{.00, no}...",None,8,Right,Nominal,Input
premorbidpsych_description_1,String,10000,0,description of premorbid psychiatric history time 1,None,None,10,Left,Nominal,Input
rx_mem_1,Numeric,8,2,Prescription for memory medication time 1,"{.00, No}...",None,17,Right,Nominal,Input
rm_memname_1,Numeric,20,0,Name of memory medication time 1,"{0, namenda}...",None,15,Right,Nominal,Input
rx_thyroid_1,Numeric,8,2,prescription for hypo or hyperthyroidism,"{.00, no}...",None,8,Right,Nominal,Input
rx_antidep_1,Numeric,8,2,Prescription for antidepressant medication time 1,"{.00, No}...",None,7,Right,Nominal,Input
rx_anx_1,Numeric,8,2,Prescription for anxiolytic medication time 1,"{.00, No}...",None,8,Right,Nominal,Input
rx_antipsy_1,Numeric,8,2,Prescription for antipsychotic medication time 1,"{.00, No}...",None,8,Right,Nominal,Input
mood_curr_1,Numeric,8,2,Current mood problems per report during intake time 1,"{.00, No}...",None,8,Right,Nominal,Input
therapy_1,Numeric,8,2,current psychotherapy time 1,"{.00, No}...",None,8,Right,Nominal,Input
priortx_1,Numeric,8,2,Prior mental health tx,"{.00, No}...",None,8,Right,Nominal,Input
suicide_1,Numeric,8,2,Current suicidal ideation time 1,"{.00, No}...",None,8,Right,Nominal,Input
psychosis_1,Numeric,8,2,Current psychosis time 1,"{.00, No}...",None,8,Right,Nominal,Input
psychosistype_1,Numeric,8,2,,"{.00, none}...",None,14,Right,Nominal,Input
sleep_1,Numeric,8,2,Current sleep problems time 1,"{.00, No}...",None,8,Right,Nominal,Input
OSAtx_1,Numeric,8,2,"If have OSA, is it being treated?","{.00, No}...",None,8,Right,Nominal,Input
sleep_med_1,Numeric,8,2,Sleep medication time 1,"{.00, No}...",None,8,Right,Nominal,Input
appetite_1,Numeric,8,2,Appetite changes time 1,"{.00, No}...",None,8,Right,Nominal,Input
etoh_abuse_1,Numeric,8,2,Alcohol abuse time 1,"{.00, None}...",None,8,Right,Nominal,Input
etoh_drinks_1,Numeric,8,2,Number of drinks time 1,"{.00, None}...",None,8,Right,Nominal,Input
tobacco_1,Numeric,8,2,Tobacco use time 1,"{.00, None}...",None,8,Right,Nominal,Input
drug_1,Numeric,8,2,Recreational drug use time 1,"{.00, None}...",None,8,Right,Nominal,Input
drug_type_1,Numeric,20,0,Recreational drug use - drug type time 1,"{0, No}...",None,8,Right,Nominal,Input
drug_name_1,String,50,0,Recreational drug use - drug name time 1,None,None,8,Left,Nominal,Input
famhx_psy_1,Numeric,8,2,Family history of psychiatric problems,"{.00, No}...",None,8,Right,Nominal,Input
famhx_psyrel_1,Numeric,8,2,Family history of psychiatric: relative,"{.00, None}...",None,11,Right,Nominal,Input
Outside_Neuropsych_1,Date,10,0,Date of outside neuropsych testing done,None,None,8,Right,Scale,Input
declinefromoutsideeval_1,Numeric,8,2,cognitive decline compared to outside NP eval,"{.00, no}...",None,8,Right,Nominal,Input
neuroim,Numeric,8,2,Neuroimaging,"{.00, No}...",None,8,Right,Nominal,Input
FDGPET,Date,10,0,enter date,None,None,8,Right,Scale,Input
PET_amyvid,Date,10,0,PET amyvid date,None,None,8,Right,Scale,Input
PET_result,Numeric,8,2,positive or neg for amyvid,"{.00, negative}...",None,8,Right,Nominal,Input
APOE,Numeric,8,2,apoe e4 status,"{.00, not in records}...",None,8,Right,Nominal,Input
neuroim_type,Numeric,8,2,Type of neuroimaging,"{.00, CT}...",None,8,Right,Nominal,Input
ct_date,Date,10,0,Date of CT,None,None,8,Right,Scale,Input
ct_ab,Numeric,8,2,CT normal or abnormal,"{.00, Normal}...",None,8,Right,Nominal,Input
ct_atrophy,Numeric,8,2,CT findings: atrophy,"{.00, None}...",None,8,Right,Nominal,Input
ct_vent,Numeric,8,2,CT: enlarged lateral ventricles,"{.00, Normal}...",None,8,Right,Nominal,Input
ct_vasc,Numeric,8,2,CT: vascular,"{.00, None}...",None,8,Right,Nominal,Input
ct_other,String,100,0,CT: other,None,None,8,Left,Nominal,Input
mri_date,Date,10,0,Date of MRI,None,None,8,Right,Scale,Input
mri_ab,Numeric,8,2,MRI normal or abnormal,"{.00, Normal}...",None,8,Right,Nominal,Input
mri_atrophy,Numeric,8,2,MRI: atrophy,"{.00, None}...",None,8,Right,Nominal,Input
mri_hippatro,Numeric,8,2,MRI: hippocampal atrophy,"{.00, None}...",None,8,Right,Nominal,Input
mri_hippscler,Numeric,8,2,MRI: hippocampal sclerosis,"{.00, None}...",None,8,Right,Nominal,Input
mri_vascular,Numeric,8,2,MRI: vascular,"{.00, None}...",None,8,Right,Nominal,Input
mri_wm,Numeric,8,2,MRI: white matter changes,"{.00, None}...",None,8,Right,Nominal,Input
mri_tumor,Numeric,8,2,MRI: tumor,"{.00, None}...",None,8,Right,Nominal,Input
mri_date_2,Date,10,0,Date of MRI,None,None,8,Right,Scale,Input
mri_ab_2,Numeric,8,2,MRI normal or abnormal,"{.00, Normal}...",None,8,Right,Nominal,Input
mri_atrophy_2,Numeric,8,2,MRI: atrophy,"{.00, None}...",None,8,Right,Nominal,Input
mri_hippatro_2,Numeric,8,2,MRI: hippocampal atrophy,"{.00, None}...",None,8,Right,Nominal,Input
mri_hippscler_2,Numeric,8,2,MRI: hippocampal sclerosis,"{.00, None}...",None,8,Right,Nominal,Input
mri_vascular_2,Numeric,8,2,MRI: vascular,"{.00, None}...",None,8,Right,Nominal,Input
mri_wm_2,Numeric,8,2,MRI: white matter changes,"{.00, None}...",None,8,Right,Nominal,Input
mri_tumor_2,Numeric,8,2,MRI: tumor,"{.00, None}...",None,8,Right,Nominal,Input
age_1,Numeric,8,2,Age at first Neuropsych eval within 1 year of NeuroReader,None,None,8,Right,Scale,Input
Addenbrookedate_1,Date,10,0,date of addenbrooke within 12 months of 1st neuroreader (usually documented in neurology visit),None,None,8,Right,Nominal,Input
Addenbrooke_tot_1,Numeric,8,2,overall addenbrooke score time 1,None,None,8,Right,Scale,Input
Addenbrooke_MMSE_1,Numeric,8,2,MMSE subscale derived from Addenbrooke time 1,None,None,8,Right,Scale,Input
Addenbrooke_Attn_1,Numeric,8,2,insert addenbrooke Attention subscale here time 1,None,None,8,Right,Scale,Input
Addenbrooke_Mem_1,Numeric,8,2,insert Memory subscale here time 1,None,None,8,Right,Scale,Input
Addenbrooke_Fluency_1,Numeric,8,2,insert Fluency subscale here time 1,None,None,8,Right,Scale,Input
Addenbrooke_Lang_1,Numeric,8,2,insert Language subscale here time 1,None,None,8,Right,Scale,Input
Addenbrooke_Visuo_1,Numeric,8,2,insert Visuospatial subscale here time 1,None,None,8,Right,Scale,Input
wms_io_raw_1,Numeric,8,2,WMS Info/Orientation raw score,None,None,11,Right,Scale,Input
wms_io_per_1,Numeric,8,2,WMS Info/Orientation percentile,None,None,8,Right,Scale,Input
moca_1_date,Date,10,0,Date of MoCA if different than NP testing date,None,None,8,Right,Scale,Input
moca_1,Numeric,8,2,Montreal Cognitive Assessment at time 1,None,None,8,Right,Scale,Input
wais_ver_1,Numeric,8,2,WAIS version,"{.00, WAIS-3}...",None,8,Right,Nominal,Input
fsiq_1,Numeric,8,2,Full Scale IQ (SS),None,None,8,Right,Scale,Input
vci_1,Numeric,8,2,Verbal Comprehension Index (SS),None,None,8,Right,Scale,Input
sim_raw_1,Numeric,8,2,Similarities raw score,None,None,8,Right,Scale,Input
sim_ss_1,Numeric,8,2,Similarities scaled score,None,None,8,Right,Scale,Input
voc_raw_1,Numeric,8,2,Vocabulary raw score,None,None,8,Right,Scale,Input
voc_ss_1,Numeric,8,2,Vocabulary scaled score,None,None,8,Right,Scale,Input
in_raw_1,Numeric,8,2,Information raw score,None,None,8,Right,Scale,Input
in_ss_1,Numeric,8,2,Information scaled score,None,None,8,Right,Scale,Input
pri_1,Numeric,8,2,Perceptual Reasoning Index,None,None,8,Right,Scale,Input
bd_raw_1,Numeric,8,2,Block Design raw score,None,None,8,Right,Scale,Input
bd_ss_1,Numeric,8,2,Block Design scaled score,None,None,8,Right,Scale,Input
mr_raw_1,Numeric,8,2,Matrix Reasoning raw score,None,None,8,Right,Scale,Input
mr_ss_1,Numeric,8,2,Matrix Reasoning scaled score,None,None,8,Right,Scale,Input
vp_raw_1,Numeric,8,2,Visual Puzzles raw score,None,None,8,Right,Scale,Input
vp_ss_1,Numeric,8,2,Visual Puzzles scaled score,None,None,8,Right,Scale,Input
wmi_1,Numeric,8,2,Working Memory Index,None,None,8,Right,Scale,Input
dsp_raw_1,Numeric,8,2,Digit Span raw score,None,None,8,Right,Scale,Input
dsp_ss_1,Numeric,8,2,Digit Span scaled score,None,None,8,Right,Scale,Input
ar_raw_1,Numeric,8,2,Arithmetic raw score,None,None,8,Right,Scale,Input
ar_ss_1,Numeric,8,2,Arithmetic scaled score,None,None,8,Right,Scale,Input
psi_1,Numeric,8,2,Processing Speed Index,None,None,8,Right,Scale,Input
ss_raw_1,Numeric,8,2,Symbol Search raw score,None,None,8,Right,Scale,Input
ss_ss_1,Numeric,8,2,Symbol Search scaled score,None,None,8,Right,Scale,Input
cd_raw_1,Numeric,8,2,Coding raw score,None,None,8,Right,Scale,Input
cd_ss_1,Numeric,8,2,Coding scaled score,None,None,8,Right,Scale,Input
wms_ver_1,Numeric,8,2,WMS version,"{.00, WMS-3}...",None,8,Right,Nominal,Input
LM_ver_1,Numeric,8,2,Logical Memory version,"{.00, Adult}...",None,8,Right,Nominal,Input
LMI_raw_1,Numeric,8,2,Logical Memory I raw score,None,None,8,Right,Scale,Input
LMI_ss_1,Numeric,8,2,Logical Memory I standard score,None,None,8,Right,Scale,Input
LMII_raw_1,Numeric,8,2,Logical Memory II raw score,None,None,8,Right,Scale,Input
LMII_ss_1,Numeric,8,2,Logical Memory II standard score,None,None,8,Right,Scale,Input
LMrec_raw_1,Numeric,8,2,Logical Memory recognition raw score,None,None,8,Right,Scale,Input
LMrec_per_1,Numeric,8,2,Logical Memory recognition percentile,"{.00, <2}...",None,8,Right,Nominal,Input
VPAI_raw_1,Numeric,8,2,Verbal Paired Associates I raw score,None,None,8,Right,Scale,Input
VPAI_ss_1,Numeric,8,2,Verbal Paired Associates I scaled score,None,None,8,Right,Scale,Input
VPAII_raw_1,Numeric,8,2,Verbal Paired Associates II raw score,None,None,8,Right,Scale,Input
VPAII_ss_1,Numeric,8,2,Verbal Paired Associates II scaled score,None,None,8,Right,Scale,Input
VPArec_raw_1,Numeric,8,2,Verbal Paired Associates recognition raw score,None,None,8,Right,Scale,Input
VPArec_perc_1,Numeric,8,2,Verbal Paired Associates recognition percentile,"{.00, <2}...",None,8,Right,Nominal,Input
VRI_raw_1,Numeric,8,2,Visual Reproduction I raw score,None,None,8,Right,Scale,Input
VRI_ss_1,Numeric,8,2,Visual Reproduction I standard score,None,None,8,Right,Scale,Input
VRII_raw_1,Numeric,8,2,Visual Reproduction II raw score,None,None,8,Right,Scale,Input
VRII_ss_1,Numeric,8,2,Visual Reproduction II standard score,None,None,8,Right,Scale,Input
VRrec_raw_1,Numeric,8,2,Visual Reproduction recognition raw score,None,None,8,Right,Scale,Input
VRrec_per_1,Numeric,8,2,Visual Reproduction recognition percentile,"{.00, <2}...",None,8,Right,Nominal,Input
VRcopy_raw_1,Numeric,8,2,Visual Reproduction Copy trial raw score,None,None,8,Right,Scale,Input
VRcopy_perc_1,Numeric,8,2,Visual Reproduction Copy trial percentile,"{.00, <2}...",None,8,Right,Nominal,Input
hvlt_form_1,Numeric,8,2,list hvlt form here,"{1.00, form 1}...",None,8,Right,Nominal,Input
hvlt_tot_raw_1,Numeric,8,2,HVLT total recall raw score,None,None,4,Right,Scale,Input
hvlt_tot_ss_1,Numeric,8,2,HVLT total recall standard score,None,None,8,Right,Scale,Input
hvlt_tot_per_1,Numeric,8,2,HVLT total recall perseverations,None,None,8,Right,Scale,Input
hvlt_tot_int_1,Numeric,8,2,HVLT total recall intrusions,None,None,6,Right,Scale,Input
hvlt_delay_raw_1,Numeric,8,2,HVLT delayed recall raw score,None,None,8,Right,Scale,Input
hvlt_delay_ss_1,Numeric,8,2,HVLT delayed recall standard score,None,None,8,Right,Scale,Input
hvlt_perc_raw_1,Numeric,8,2,HVLT percent retention raw score,None,None,8,Right,Scale,Input
hvlt_perc_ss_1,Numeric,8,2,HVLT percent retention standard score,None,None,7,Right,Scale,Input
hvlt_disc_raw_1,Numeric,8,2,HVLT discrimination index raw score,None,None,8,Right,Scale,Input
hvlt_disc_ss_1,Numeric,8,2,HVLT discrimination index standard score,None,None,8,Right,Scale,Input
HVLT_MemProfile,Numeric,8,2,,"{.00, Normal Memory}...",None,25,Right,Nominal,Input
WordListMemProfile2,Numeric,8,2,Word List Memory Profile,"{.00, Normal Memory}...",None,36,Right,Nominal,Input
cvlt_form_1,Numeric,8,2,CVLT-II form,"{.00, STD}...",None,8,Right,Nominal,Input
cvlt_tot_raw_1,Numeric,8,2,CVLT-II total recall raw score,None,None,8,Right,Scale,Input
cvlt_tot_ss_1,Numeric,8,2,CVLT-II total recall standard score,None,None,8,Right,Scale,Input
cvlt_sdelayfree_raw_1,Numeric,8,2,CVLT-II short delay free recall raw score,None,None,8,Right,Scale,Input
cvlt_sdelayfree_ss_1,Numeric,8,2,CVLT-II short delay free recall standard score,None,None,8,Right,Scale,Input
cvlt_sdelaycued_raw_1,Numeric,8,2,CVLT-II short delay cued recall raw score,None,None,8,Right,Scale,Input
cvlt_sdelaycued_ss_1,Numeric,8,2,CVLT-II short delay cued recall standard score,None,None,8,Right,Scale,Input
cvlt_ldelayfree_raw_1,Numeric,8,2,CVLT-II long delay free recall raw score,None,None,8,Right,Scale,Input
cvlt_ldelayfree_ss_1,Numeric,8,2,CVLT-II long delay free recall standard score,None,None,8,Right,Scale,Input
cvlt_ldelaycued_raw_1,Numeric,8,2,CVLT-II long delay cued recall raw score,None,None,8,Right,Scale,Input
cvlt_ldelaycued_ss_1,Numeric,8,2,CVLT-II long delay cued recall standard score,None,None,8,Right,Scale,Input
cvlt_recogdisc_raw_1,Numeric,8,2,CVLT-II recognition discriminability raw score,None,None,8,Right,Scale,Input
cvlt_recogdisc_ss_1,Numeric,8,2,CVLT-II recognition discriminability standard score,None,None,8,Right,Scale,Input
cvlt_fcrecog_perc_1,Numeric,8,2,CVLT-II forced choice recognition percent correct,None,None,8,Right,Scale,Input
BVMT_form_1,Numeric,8,2,BVMT-R form at time 1,"{1.00, FM-1}...",None,8,Right,Nominal,Input
BVMT_tot_raw_1,Numeric,8,2,BVMT-R Total Recall raw score,None,None,8,Right,Scale,Input
BVMT_tot_ss_1,Numeric,8,2,BVMT-R Total Recall standard score,None,None,8,Right,Scale,Input
BVMT_delay_raw_1,Numeric,8,2,BVMT-R Delayed Recall raw score,None,None,8,Right,Scale,Input
BVMT_delay_ss_1,Numeric,8,2,BVMT-R Delayed Recall standard score,None,None,8,Right,Scale,Input
BVMT_rec_raw_1,Numeric,8,2,BVMT-R Discrimination Index raw score,None,None,8,Right,Scale,Input
BVMT_rec_perc_1,Numeric,8,2,BVMT-R Discrimination Index percentile,"{.00, <2}...",None,8,Right,Nominal,Input
bnt_ver_1,Numeric,8,2,Boston Naming Test version,"{.00, Full}...",None,8,Right,Nominal,Input
bnt_raw_1,Numeric,8,2,Boston Naming raw score,None,None,8,Right,Scale,Input
bnt_ss_1,Numeric,8,2,Boston Naming standard score,None,None,8,Right,Scale,Input
bdae_CIM_raw_1,Numeric,8,2,BDAE Complex Ideational Material raw score,None,None,8,Right,Scale,Input
bdae_CIM_ss_1,Numeric,8,2,BDAE Complex Ideational Material standard score,None,None,8,Right,Scale,Input
bdae_RS_raw_1,Numeric,8,2,BDAE Repetition of Sentences raw score,None,None,8,Right,Scale,Input
bdae_RN_raw_1,Numeric,8,2,BDAE Response Naming raw score,None,None,8,Right,Scale,Input
bdae_RN_class_1,Numeric,8,2,BDAE Response Naming classification,"{.00, WNL}...",None,8,Right,Nominal,Input
bdae_CT_raw_1,Numeric,8,2,BDAE Picture Description: Cookie Theft (Written) raw score,None,None,8,Right,Scale,Input
bdae_SP_raw_1,Numeric,8,2,BDAE Semantic Probe raw score,None,None,8,Right,Scale,Input
bdae_praxis_NG_raw_1,Numeric,8,2,BDAE Praxis Natural Gestures raw score,None,None,8,Right,Scale,Input
bdae_praxis_CG_raw_1,Numeric,8,2,BDAE Praxis Conventional Gestures raw score,None,None,8,Right,Scale,Input
bdae_praxis_UPO_raw_1,Numeric,8,2,BDAE Praxis Use of Pretended Objects raw score,None,None,8,Right,Scale,Input
bdae_praxis_BFRM_raw_1,Numeric,8,2,BDAE Praxis Bucco-Facial/Respiratory Movements raw score,None,None,8,Right,Scale,Input
bdae_WC_raw_1,Numeric,8,2,BDAE Word Comprehension (Body Parts) raw score,None,None,8,Right,Scale,Input
wratread_form_1,Numeric,8,2,WRAT-4 Word Reading form at time 1,"{1.00, Blue}...",None,8,Right,Nominal,Input
wratread_raw_1,Numeric,8,2,WRAT-4 Word Reading raw score,None,None,8,Right,Scale,Input
wratread_ss_1,Numeric,8,2,WRAT-4 Word Reading standard score,None,None,8,Right,Scale,Input
wratread_ss_MissingData,Numeric,8,2,WRAT-4 Word Reading standard score with missing data from prior evals,None,None,8,Right,Scale,Input
WJIII_WA_raw_1,Numeric,8,2,WJ-III Word Attack raw score,None,None,8,Right,Scale,Input
WJIII_WA_ss_1,Numeric,8,2,WJ-III Word Attack standard score,None,None,8,Right,Scale,Input
clock_score_1,Numeric,8,2,Clock Drawing score,None,None,8,Right,Scale,Input
clock_time_1,Numeric,8,2,Clock drawn with hands at 10 to 11,"{.00, No}...",None,8,Right,Nominal,Input
clock_class_1,Numeric,8,2,Clock Drawing classification,"{.00, WNL}...",None,8,Right,Nominal,Input
JLO_form_1,Numeric,8,2,JLO Form/Version,"{1.00, H}...",None,8,Right,Nominal,Input
JLO_raw_1,Numeric,8,2,JLO raw score,None,None,8,Right,Scale,Input
JLO_ss_1,Numeric,8,2,JLO standard score,None,None,8,Right,Scale,Input
sdmt_writ_raw_1,Numeric,8,2,Symbol Digit Modalities Test written raw score,None,None,8,Right,Scale,Input
sdmt_writ_ss_1,Numeric,8,2,Symbol Digit Modalities Test written standard score,None,None,8,Right,Scale,Input
sdmt_oral_raw_1,Numeric,8,2,Symbol Digit Modalities Test oral raw score,None,None,8,Right,Scale,Input
sdmt_oral_ss_1,Numeric,8,2,Symbol Digit Modalities Test oral standard score,None,None,8,Right,Scale,Input
PASAT_form_1,Numeric,8,2,PASAT Form,"{.00, A}...",None,8,Right,Nominal,Input
PASAT_3srate_raw_1,Numeric,8,2,"PASAT 3"" rate raw score",None,None,8,Right,Scale,Input
PASAT_3srate_ss_1,Numeric,8,2,"PASAT 3"" rate standard score",None,None,8,Right,Scale,Input
PASAT_2srate_raw_1,Numeric,8,2,"PASAT 2"" rate raw score",None,None,8,Right,Scale,Input
PASAT_2srate_ss_1,Numeric,8,2,"PASAT 2"" rate standard score",None,None,8,Right,Scale,Input
CPT3_disc_ss_1,Numeric,8,2,CPT3 Detectability scaled score,None,None,8,Right,Scale,Input
CPT3_detect_class_1,Numeric,8,2,CPT3 Detectability classification,"{.00, Good detection}...",None,8,Right,Nominal,Input
CPT3_omis_ss_1,Numeric,8,2,CPT3 Omissions standard score,None,None,8,Right,Scale,Input
CPT3_omis_class_1,Numeric,8,2,CPT3 Omissions classification,"{.00, Low error rate}...",None,8,Right,Nominal,Input
CPT3_comis_ss_1,Numeric,8,2,CPT3 Commissions standard score,None,None,8,Right,Scale,Input
CPT3_comis_class_1,Numeric,8,2,CPT3 Commissions classification,"{.00, Low error rate}...",None,8,Right,Nominal,Input
CPT3_per_ss_1,Numeric,8,2,CPT3 Perseverations standard score,None,None,8,Right,Scale,Input
CPT3_per_class_1,Numeric,8,2,CPT3 Perseverations classification,"{.00, Low rate of persev}...",None,8,Right,Nominal,Input
CPT3_HRT_ss_1,Numeric,8,2,CPT3 HRT standard score,None,None,8,Right,Scale,Input
CPT3_HRT_class_1,Numeric,8,2,CPT3 HRT classification,"{.00, Atypically fast*}...",None,8,Right,Nominal,Input
CPT3_HRTSD_ss_1,Numeric,8,2,CPT3 HRT SD standard score,None,None,8,Right,Scale,Input
CPT3_HRTSD_class_1,Numeric,8,2,CPT3 HRT SD classification,"{.00, Good consistency}...",None,8,Right,Nominal,Input
CPT3_var_ss_1,Numeric,8,2,CPT3 Variability standard score,None,None,8,Right,Scale,Input
